順位,ダウンロード数,自治体名,データセット・タイトル,リソース名,データセット名,リソースid
114,34,和歌山県,【和歌山県】データセットリスト,2021年08月のデータセット一覧,300004_dataset_list,37f135bc-c2fa-4d85-9719-1892a67ae918
115,34,和歌山県,【和歌山県】データセットリスト,2022年11月のデータセット一覧,300004_dataset_list,5e3f6cb7-55ac-4d0c-8893-595ebca1c11c
116,34,和歌山県,【和歌山県】データセットリスト,2022年10月のデータセット一覧,300004_dataset_list,86a692fb-dfad-492a-af65-08ec3e303e69
117,34,和歌山県,【和歌山県】データセットリスト,2022年09月のデータセット一覧,300004_dataset_list,b8253307-98ab-4cf3-a1cd-5dd7361975c4
118,34,和歌山県,【和歌山県】データセットリスト,2022年08月のデータセット一覧,300004_dataset_list,f099b8ce-177e-4939-b8ef-3353d2bfb258
119,34,和歌山県,【和歌山県】データセットリスト,2022年07月のデータセット一覧,300004_dataset_list,b8a219d4-b502-4254-877c-cdfd4087363b
120,34,和歌山県,【和歌山県】データセットリスト,2022年04月のデータセット一覧,300004_dataset_list,6410be56-b17f-464b-92a1-1b7523675f71
121,34,和歌山県,【和歌山県】データセットリスト,2021年11月のデータセット一覧,300004_dataset_list,f37dcd8f-88f2-4233-8c2d-671ff3a333cd
122,34,和歌山県,【和歌山県】データセットリスト,2021年09月のデータセット一覧,300004_dataset_list,ea0ed477-2fd9-4aa9-bf34-fab17acdea14
123,34,和歌山県,【和歌山県】データセットリスト,2023年08月のデータセット一覧,300004_dataset_list,95df2e59-9740-48d8-b77d-d27170c4ce8e
124,34,和歌山県,【和歌山県】アクセス状況,2022年12月の閲覧数とダウンロード数,300004_status,be9f3a06-3777-4a84-b3e0-3e452d217f0b
125,34,和歌山県,【和歌山県】アクセス状況,2021年12月の閲覧数とダウンロード数,300004_status,dc7e99d2-d4b0-4c92-92cf-effcb0a5ae5d
126,34,和歌山県,【和歌山県】アクセス状況,2022年03月の閲覧数,300004_status,243b059f-2105-42da-b662-14c8776e94b9
127,34,和歌山県,【和歌山県】アクセス状況,2021年12月の閲覧数,300004_status,460d4b71-5815-4841-b4f5-520f3c2689b8
128,34,和歌山県,【和歌山県】アクセス状況,2023年2月のダウンロード数,300004_status,5079c02c-e821-49a6-898e-02e980c33d55
129,34,和歌山県,【和歌山県】アクセス状況,2023年1月のダウンロード数,300004_status,cb585a02-f16e-459b-8ec0-1ef1c06b0466
130,34,和歌山県,【和歌山県】アクセス状況,2022年11月のダウンロード数,300004_status,446c18b4-2d26-4af2-ba2f-787b7224901d
131,34,和歌山県,【和歌山県】アクセス状況,2022年07月のダウンロード数,300004_status,98a1bc41-f46f-469b-af5b-00dff940f2fd
132,34,和歌山県,【和歌山県】アクセス状況,2022年02月のダウンロード数,300004_status,0e828f67-a51b-4633-822c-be273a9fdfdc
133,34,和歌山県,【和歌山県】アクセス状況,2021年09月のダウンロード数,300004_status,ecec0ad6-b768-48ef-91bd-8f28b0443aec
134,34,和歌山県,【和歌山県】アクセス状況,2021年08月のダウンロード数,300004_status,48cd6d6e-6e4f-471b-9e00-3168c8fb02fa
135,34,和歌山県,【和歌山県】アクセス状況,2021年07月のダウンロード数,300004_status,c12d6c34-afa7-4daf-a301-de441aec3e11
136,34,和歌山県,【和歌山県】アクセス状況,2023年09月の閲覧数とダウンロード数,300004_status,1f78f34d-0474-4840-93bc-78c5d9acf8fc
137,34,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 御坊市,300004_011400_hinanjo,b5f5dec0-fa69-4672-9dbe-62d0bde63fc3
138,34,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 新宮市,300004_011400_hinanjo,1959d89c-1fc1-4c0c-a21f-46b3ac3c411e
139,34,和歌山県,【和歌山県】和歌山県職員採用試験実施結果総括表,平成30年度和歌山県職員採用試験実施結果総括表.csv,300004_210100_shikenjisshikekka,e914cf24-6c51-4345-adc4-e38d14ccc420
140,34,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　３月,300004_020400_kenmin_tomo_r4_event,4b1418e7-6a62-4739-965d-317ce76f3469
141,34,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　７月,300004_020400_kenmin_tomo_r4_event,e4409923-bcca-4406-aac7-3a2f7594a227
142,34,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　６月,300004_020400_kenmin_tomo_r4_event,6a52fb0c-ff5a-43c5-ae8a-6fa4331c0481
143,34,和歌山県,【和歌山県】電子申請利用状況,平成24年度電子申請利用状況について,300004_010100_denshishinseiriyoujyoukyou,6e87078b-e449-4bf3-a499-c4fbd47d04f9
