順位,ダウンロード数,自治体名,データセット・タイトル,リソース名,データセット名,リソースid
144,34,和歌山県,【和歌山県】指定医療機関一覧,和歌山県指定医療機関（病院・診療所）一覧,300004_nanbyou,08b907d6-6ff0-4d4b-ac32-fd94cc7fe229
145,34,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成１６年度,300004_081100_koji_nyusatsu_kekka,9f0a3af0-d27b-4653-ad03-44d121315443
146,34,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成１８年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,44ea0b0c-2d2d-4895-8e08-e1705ea640d8
147,34,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２８年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,f413c047-d0f9-457c-a060-7e453bb233fb
148,34,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２９年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,3345d273-00a3-4f76-9de7-13109fa1ce1f
149,34,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成３０年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,a6bcb255-2593-4861-984a-47cde244caac
150,34,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　令和２年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,057cce3a-bb37-4003-985d-ab6f0ece8bd6
151,34,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成１９年度　（農林水産部）,300004_081100_koji_nyusatsu_kekka,23b6539b-d247-42e7-beaf-1085368dca4f
152,34,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成３０年度　（農林水産部）,300004_081100_koji_nyusatsu_kekka,39eabf8d-7b32-402f-98db-c95fbf93bdcb
153,34,和歌山県,【和歌山県】平成30年度県民経済計算,主-1　経済活動別県内総生産（名目）（構成比）,300004_020300_kenminkeizai,4b4550f8-2df6-4f81-8610-fcee5056ae46
154,34,和歌山県,【和歌山県】平成30年度県民経済計算,主-3　県内総生産（支出側、実質：連鎖方式）（構成比）,300004_020300_kenminkeizai,54f831ea-9783-4e93-9ded-de3ea7d54ea5
155,34,和歌山県,【和歌山県】平成30年度県民経済計算,主-3　県内総生産（支出側、デフレーター：連鎖方式）（対前年度増加率）,300004_020300_kenminkeizai,3144cca0-db76-40cc-a7a2-1012d5c5f845
156,34,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和３年度刊行県民の友（催し）　4月,300004_020400_kenmin_tomo_r3_event,63d73eba-59c8-4f35-b679-5f0414a35aa0
157,34,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和３年度刊行県民の友（催し）　5月,300004_020400_kenmin_tomo_r3_event,3a337dde-4cc4-42ca-963b-efff722efca5
158,34,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　5月,300004_020400_kenmin_tomo_r2_event,557d38f4-d325-47ef-a6c6-a228f4e59940
159,34,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　8月,300004_020400_kenmin_tomo_r2_event,1fdee2f5-1001-45f2-97ba-7ac742cfaefc
160,34,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　２月,300004_020400_kenmin_tomo_r2_event,2ca73bbb-75b5-4584-9235-f9f64d36b108
161,34,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）5月,300004_020400_kenmin_tomo_h31_news,f5c6d348-f048-45c4-ab06-1b354cc85feb
162,34,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）12月,300004_020400_kenmin_tomo_h31_news,02d559f3-8c93-4fff-a2c4-bb610df19739
163,34,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）12月,300004_020400_kenmin_tomo_h31_news,49b97997-7f68-4f2a-b1d3-b9a79e147a6a
164,34,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）3月,300004_020400_kenmin_tomo_h31_news,39304fd4-9ac7-41ca-a387-be4b79ef7808
165,33,和歌山県,【和歌山県】データセットリスト,2023年04月のデータセット一覧,300004_dataset_list,b5358c49-2081-47e0-8e19-ecd5b8b67be8
166,33,和歌山県,【和歌山県】データセットリスト,2023年02月のデータセット一覧,300004_dataset_list,2e540b82-f3f0-4789-9662-f8b68676697d
167,33,和歌山県,【和歌山県】データセットリスト,2022年11月のデータセット一覧,300004_dataset_list,e971dcc0-0684-4a39-b242-70993fdccc6a
168,33,和歌山県,【和歌山県】データセットリスト,2022年09月のデータセット一覧,300004_dataset_list,cf4b6b5b-c443-4035-99fd-b04d2de600b7
169,33,和歌山県,【和歌山県】データセットリスト,2022年08月のデータセット一覧,300004_dataset_list,74d95e48-7044-41f6-a469-3774b8773222
170,33,和歌山県,【和歌山県】データセットリスト,2022年07月のデータセット一覧,300004_dataset_list,48339981-9627-4e34-9b80-cfac0e70a83f
171,33,和歌山県,【和歌山県】データセットリスト,2022年06月のデータセット一覧,300004_dataset_list,5cbaa3f3-f328-417d-9264-26574ee6b5d0
172,33,和歌山県,【和歌山県】データセットリスト,2022年05月のデータセット一覧,300004_dataset_list,d1d361be-eabf-46e8-9bef-e5c4b00224f9
173,33,和歌山県,【和歌山県】データセットリスト,2022年04月のデータセット一覧,300004_dataset_list,3e41b939-d636-42d8-9431-3afce20f67a7
174,33,和歌山県,【和歌山県】データセットリスト,2022年01月のデータセット一覧,300004_dataset_list,5bceae4d-b85d-4d8c-ae80-55b7d81e35c2
175,33,和歌山県,【和歌山県】データセットリスト,2021年10月のデータセット一覧,300004_dataset_list,b54caee3-88f8-4241-87dc-4654825c2466
176,33,和歌山県,【和歌山県】データセットリスト,2021年09月のデータセット一覧,300004_dataset_list,901f1096-ff2f-402d-8a85-dd3f934cd260
177,33,和歌山県,【和歌山県】データセットリスト,2021年07月のデータセット一覧,300004_dataset_list,6a3023ed-a1a6-471c-a338-387e55e8990b
178,33,和歌山県,【和歌山県】データセットリスト,2021年08月のデータセット一覧,300004_dataset_list,a8a0b401-2ce2-4d97-a3dd-437bbf9555e5
179,33,和歌山県,【和歌山県】アクセス状況,2022年09月の閲覧数とダウンロード数,300004_status,56f6fdbe-6269-444e-9d9b-d4d87a670086
180,33,和歌山県,【和歌山県】アクセス状況,2022年05月の閲覧数とダウンロード数,300004_status,3b7b41a9-6be0-4502-b304-62b41e1bd320
181,33,和歌山県,【和歌山県】アクセス状況,2022年04月の閲覧数とダウンロード数,300004_status,8a7e72af-0f0b-4c14-98b7-6204cfed4a6a
182,33,和歌山県,【和歌山県】アクセス状況,2022年02月の閲覧数とダウンロード数,300004_status,f96b08cb-ff65-4b15-97f7-200ee775ce25
183,33,和歌山県,【和歌山県】アクセス状況,2022年01月の閲覧数とダウンロード数,300004_status,f3b95664-140e-4157-bff8-4f1adc9de839
184,33,和歌山県,【和歌山県】アクセス状況,2021年09月の閲覧数とダウンロード数,300004_status,36db789b-7d4d-4dd1-a926-4aedf2613a74
185,33,和歌山県,【和歌山県】アクセス状況,2021年07月の閲覧数とダウンロード数,300004_status,753f7472-9681-427a-bd0a-b5ee97bde782
186,33,和歌山県,【和歌山県】アクセス状況,2022年09月の閲覧数,300004_status,ec7cde89-b6df-4c52-be94-6dd4e76855ab
187,33,和歌山県,【和歌山県】アクセス状況,2022年08月の閲覧数,300004_status,7c0d41a5-2695-49ea-a3fd-9a75898f448d
188,33,和歌山県,【和歌山県】アクセス状況,2022年07月の閲覧数,300004_status,630e37bf-b6ff-4176-b970-da292bcb4ba9
189,33,和歌山県,【和歌山県】アクセス状況,2021年11月の閲覧数,300004_status,c0d20917-92ad-4ed7-979b-6ec8aca74041
190,33,和歌山県,【和歌山県】アクセス状況,2021年08月の閲覧数,300004_status,b9a1c527-c0f8-41c4-bc04-bc125c24a859
191,33,和歌山県,【和歌山県】アクセス状況,2022年10月のダウンロード数,300004_status,5594cef1-b703-4ff8-8694-d3f753bf503a
192,33,和歌山県,【和歌山県】アクセス状況,2022年05月のダウンロード数,300004_status,e5b00614-bf9b-4733-9cfd-32eb3e64197b
193,33,和歌山県,【和歌山県】アクセス状況,2022年01月のダウンロード数,300004_status,c705537c-64f8-4403-97b0-f9d0a18855d2
194,33,和歌山県,【和歌山県】アクセス状況,2021年12月のダウンロード数,300004_status,4c6f2259-ce5d-4017-b902-1faca38b2429
195,33,和歌山県,【和歌山県】アクセス状況,2021年11月のダウンロード数,300004_status,862501f5-8aa5-41fc-9eef-8438b3412eea
196,33,和歌山県,【和歌山県】アクセス状況,2021年10月のダウンロード数,300004_status,225d9cea-ab30-480b-b171-4186769314ed
197,33,和歌山県,【和歌山県】アクセス状況,2023年04月の閲覧数とダウンロード数,300004_status,0c14c662-9a4f-428c-a468-909a4cccef2e
198,33,和歌山県,【和歌山県】アクセス状況,2023年06月の閲覧数とダウンロード数,300004_status,b3d791e8-c180-4d28-8fca-9d8b855af2fb
199,33,和歌山県,【和歌山県】アクセス状況,2023年07月の閲覧数とダウンロード数,300004_status,191cb045-605c-4279-b084-bb3c32685a2a
200,33,和歌山県,【和歌山県】アクセス状況,2023年10月の閲覧数とダウンロード数,300004_status,220c12a0-f2fb-4faf-a499-8a31890e44cf
201,33,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 有田市,300004_011400_hinanjo,9e83dd10-9203-484e-93fe-cb40862eacc3
202,33,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 田辺市,300004_011400_hinanjo,e222022c-7dfe-4b76-b0b2-11edb157f26b
203,33,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 紀の川市,300004_011400_hinanjo,e4b50433-fcb4-4c23-8d83-defaaf48df81
204,33,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 九度山町,300004_011400_hinanjo,c26b3f2e-5e03-4a2c-b57d-36711a98b7f7
205,33,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 高野町,300004_011400_hinanjo,40131e56-dfba-44c1-94c4-c6e158c45f21
206,33,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 広川町,300004_011400_hinanjo,7d65824a-a542-4e3d-9d2a-644acf1028df
207,33,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 印南町,300004_011400_hinanjo,9f9dfabd-ee4c-4b84-9095-c6a70e797467
208,33,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 みなべ町,300004_011400_hinanjo,2e3c2b4a-3ac4-4087-b62a-d8e9ffe7a0ed
209,33,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 日高川町,300004_011400_hinanjo,b983c85d-f45e-4a48-8c2a-c712944d80e5
210,33,和歌山県,【和歌山県】避難先情報一覧,避難先情報一覧　 太地町,300004_011400_hinanjo,3b553c6f-5aa7-4bfd-a50e-b47f23955101
211,33,和歌山県,【和歌山県】保安林,和歌山県保安林　シェープファイル.zip,300004_070700_hoanrin,4f370179-5dd6-45ad-885a-5a82f104384e
212,33,和歌山県,令和4年度　Wakayama Workation Networks,ワカヤマ ワーケーション ネットワークス,300004_wakayama_workation_networks,c1a0ecff-4f77-4c33-b448-7d99700df929
213,33,和歌山県,【和歌山県】人事委員会勧告参考資料,令和４年職員の給与等に関する報告及び勧告（参考資料（１職員給与関係））,300004_kankokusankousiryou,b7c7aee7-97d7-4441-950b-8d55eea52f91
214,33,和歌山県,【和歌山県】人事委員会勧告参考資料,令和４年職員の給与等に関する報告及び勧告（参考資料（２民間給与関係））,300004_kankokusankousiryou,f2685930-3c60-410d-8a66-5d0a80b1768b
215,33,和歌山県,【和歌山県】令和４年度刊行　県民の友（催し）一覧,令和4年度刊行県民の友（催し）　１２月,300004_020400_kenmin_tomo_r4_event,535dcc77-4f15-459e-8034-572d6cfac93a
216,33,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）３月,300004_020400_kenmin_tomo_r4_news,4787b8eb-b827-4ea4-a530-5bd20fa3e2e5
217,33,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）１月,300004_020400_kenmin_tomo_r4_news,3f80b72a-b5ab-47a1-aecb-79939e74af0c
218,33,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）１２月,300004_020400_kenmin_tomo_r4_news,bd2ba487-3a39-4be8-8657-a753c2302274
219,33,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）１１月,300004_020400_kenmin_tomo_r4_news,50384cb8-ccb4-48a8-95a5-ebc3ad535196
220,33,和歌山県,【和歌山県】令和４年度刊行　県民の友（お知らせ）一覧,令和4年度刊行県民の友（お知らせ）８月,300004_020400_kenmin_tomo_r4_news,f5443ab0-c5e8-4d8f-8cd9-76041858906d
221,33,和歌山県,【和歌山県】市町村別汚水処理人口普及率,R3年度末和歌山県市町村別汚水処理人口普及率.xlsx,300004_osuisyori,f6970016-8aa1-492c-95fa-66e3eb963a76
222,33,和歌山県,【和歌山県】令和3年度　和歌山県公共交通機関等資料集,０　表紙、目次等.xls,300004_publictransport_sources,99c67455-9009-404b-b337-2e275701eb88
223,33,和歌山県,【和歌山県】令和3年度　和歌山県公共交通機関等資料集,１　鉄道（P1～22).xls,300004_publictransport_sources,74b2ef9e-0250-42bd-ae01-f111ee1fde39
224,33,和歌山県,【和歌山県】電子申請利用状況,平成23年度電子申請利用状況について,300004_010100_denshishinseiriyoujyoukyou,41387a25-7655-4c92-b7d1-9cc6070b0c62
225,33,和歌山県,【和歌山県】電子申請利用状況,平成26年度電子申請利用状況について,300004_010100_denshishinseiriyoujyoukyou,3f024090-276b-4490-b912-bbd335c5986f
226,33,和歌山県,【和歌山県】電子申請利用状況,平成28年度電子申請利用状況について,300004_010100_denshishinseiriyoujyoukyou,a02dae06-2fd1-4969-a4a6-1785f5dc8032
227,33,和歌山県,【和歌山県】電子申請利用状況,平成29年度電子申請利用状況について,300004_010100_denshishinseiriyoujyoukyou,54dcfd6a-437c-48b9-b71a-aa208a72e074
228,33,和歌山県,【和歌山県】洪水浸水想定区域図,亀の川水系 亀の川浸水想定（想定最大規模）,300004_kasenka01,3f210267-d3b9-44ba-9740-9b9d3f9742af
229,33,和歌山県,【和歌山県】洪水浸水想定区域図,加茂川水系 加茂川浸水想定（想定最大規模）,300004_kasenka01,1bb28a46-d432-4617-9b88-50262a8b4d92
230,33,和歌山県,【和歌山県】洪水浸水想定区域図,左会津川水系 左会津川浸水想定（想定最大規模）,300004_kasenka01,a7a5c612-4a7e-4635-a846-755aaf0b93f5
231,33,和歌山県,【和歌山県】市町村財政状況資料集（令和元年度）,10 紀美野町,300004_010600_zaiseizyoukyoushiryousyuu,5d161731-59f3-41f4-aae8-ae612a1ac692
232,33,和歌山県,【和歌山県】指定医療機関一覧,和歌山県指定医療機関（歯科）一覧,300004_nanbyou,496ed727-c07b-479e-887d-6493df41f486
233,33,和歌山県,【和歌山県】指定医療機関一覧,和歌山県指定医療機関（薬局）一覧,300004_nanbyou,aeccc479-ddca-4fa1-b260-418ed26e2be3
234,33,和歌山県,【和歌山県】県税総括表,年度別県税徴収成績表（直近５年）,300004_010500_wakayama_zeimutoukei,fb91eda5-8de2-4ab7-939f-c060a1a2bde3
235,33,和歌山県,【和歌山県】県税総括表,決算納税義務者数調（税目別）（令和２年度）,300004_010500_wakayama_zeimutoukei,9863acf5-2c61-49f7-b6b0-e0949733c2e4
236,33,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２１年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,89f033fe-a719-42b9-98bb-979c63393453
237,33,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２７年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,7bff0dfa-2d7b-4b30-922f-b9b85c080e10
238,33,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　令和元年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,52d73d6c-6c3e-455d-8dee-c489d8da3013
239,33,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２６年度　（農林水産部）,300004_081100_koji_nyusatsu_kekka,56290d42-014c-433e-bf18-f747dcab28b2
240,33,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２７年度　（農林水産部）,300004_081100_koji_nyusatsu_kekka,0c79b82c-da8d-4f0b-a449-4b34a91803a4
241,33,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２９年度　（農林水産部）,300004_081100_koji_nyusatsu_kekka,79ca13d3-87df-42d8-9673-1de49feb37c9
242,33,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　令和元年度　（農林水産部）,300004_081100_koji_nyusatsu_kekka,88c3a66f-27cf-442c-9ced-096b3b3902d0
